is_offensive,text
1,hudas
1,putang
0,ina
1,puta
1,tangina
1,taena
1,anak
1,puta
1,puking
0,ina
1,kingina
1,amputa
1,tanginang
1,lintik
1,ulol
1,kaululan
1,ulul
1,bulol
1,gago
1,gaga
1,gagi
1,ogag
1,kagaguhan
1,tarantado
1,tado
1,buwisit
1,bwiset
1,buset
1,burat
1,nakakaburat
1,ratbu
1,kupal
1,leche
1,lechugas
1,ungas
1,punyeta
1,hinayupak
1,hayup
1,hayop
1,pucha
1,puchanggala
1,puchangina
1,pesteng
1,yawa
1,peste
1,yawa
1,pakshet
1,pakingshet
1,pakyu
1,puta
1,putang
0,ina
1,tang
0,ina
1,putang
0,ina
0,mo
1,tang
0,ina
0,mo
1,tanga
1,tae
1,panget
1,pek
1,pek
1,titi
1,puwit
1,anak
1,puta
1,gago
1,kantotero
1,tanga
1,ulol
1,tarantado
1,bobo
0,mo
1,sira
1,ulo
1,kainin
0,mo
1,tae
1,panget
1,mukha
0,mo
1,sipsipin
0,mo
1,titi
1,hiya
1,hayop
0,kayo
0,kayo
0,iyan
0,diyan
0,kailan
0,kelan
0,iilan
0,kaunti
0,otro
0,uno
0,dos
0,tres
0,kwatro
0,singko
0,malaki
0,mahaba
0,malapad
0,makapal
0,ispiso
0,mabigat
0,maliit
0,munti
0,pandak
0,maikli
0,maigsi
0,makitid
0,manipis
0,babae
0,lalaki
0,tao
0,anak
0,bata
0,asawa
0,asawa
0,ina
0,nanay
0,mama
0,ama
0,tatay
0,hayop
0,isda
0,ibon
0,aso
0,kuto
0,ahas
0,sawa
0,uod
0,bulati
0,puno
0,punungkahoy
0,gubat
0,patpat
0,prutas
0,bungangkahoy
0,bunga
0,binhi
0,dahon
0,ugat
0,balat
0,bakbak
0,bulaklak
0,suchil
0,damo
0,lubid
0,tali
0,balat
0,karne
0,laman
0,loob
0,dugo
0,buto
0,taba
0,itlog
0,sungay
0,buntot
0,balahibo
0,buhok
0,ulo
0,kabesa
0,tenga
0,tainga
0,mata
0,ilong
0,bibig
0,ngipin
0,dila
0,kuko
0,paa
0,binti
0,tuhod
0,kamay
0,pakpak
0,tiyan
0,bituka
0,lamanloob
0,leeg
0,likuran
0,suso
0,dibdib
0,puso
0,atay
0,igado
0,uminom
0,inumin
0,kumain
0,kainin
0,lumamon
0,lamunin
0,kumagat
0,kagatin
0,sumipsip
0,sipsipin
0,dumura
0,sumuka
0,umihip
0,gulpi
0,huminga
0,tumawa
0,marinig
0,umalam
0,alamin
0,malaman
0,magisip
0,isipin
0,amuyin
0,takot
0,matakot
0,matulog
0,mabuhay
0,mamatay
0,pumanaw
0,mapaslang
0,pumatay
0,patayin
0,pumaslang
0,lumaban
0,mangaso
0,tamaan
0,tumbukin
0,putulin
0,hiwain
0,magbiyak
0,biyakin
0,manaksak
0,saksakin
0,kamutin
0,maghukay
0,hukayin
0,lumangoy
0,languyin
0,lumipad
0,liparin
0,maglakad
0,lumakad
0,dumating
0,datingan
0,datnan
0,humiga
0,umupo
0,tumayo
0,lumiko
0,bumiling
0,bumagsak
0,magbigay
0,ibigay
0,humawak
0,hawakan
0,tanganan
0,tangnan
0,pisilin
0,pigas
0,magkuskos
0,kuskusin
0,maghugas
0,hugasan
0,magpunas
0,punasan
0,bumatak
0,batakin
0,humila
0,hilahin
0,magtulak
0,itulak
0,maghagis
0,ihagis
0,magtali
0,itali
0,tahiin
0,bumilang
0,umawit
0,awitin
0,maglaro
0,laruin
0,lumutang
0,umagos
0,iagos
0,yelo
0,mabuo
0,manigas
0,mamaga
0,araw
0,buwan
0,bituin
0,tubig
0,ulan
0,ilog
0,lawa
0,dagat
0,asin
0,bato
0,buhangin
0,alikabok
0,lupa
0,ulap
0,ulap
0,hamog
0,langit
0,kalangitan
0,hangin
0,niyebe
0,yelo
0,aso
0,usok
0,apoy
0,abo
0,magsunog
0,masunog
0,sunugin
0,daan
0,kalsada
0,lansangan
0,bundok
0,pula
0,luntian
0,berde
0,dilaw
0,puti
0,itim
0,gabi
0,araw
0,taon
0,mainit
0,maligamgam
0,malamig
0,maginaw
0,puno
0,luma
0,matanda
0,mabuti
0,masama
0,maldito
0,maldita
0,bulok
0,panis
0,marumi
0,tuwid
0,bilog
0,matalim
0,pudpod
0,mapurol
0,makinis
0,basa
0,tuyo
0,tama
0,tumpak
0,malapit
0,malayo
0,kanan
0,mainit
0,salita
0,ngunit
0,ilang
0,out
0,ibang
0,gawin
0,oras
0,pamanahan
0,sinabi
0,gumagana
0,hanay
0,tatlong
0,naka
0,rin
0,ring
0,maglaro
0,maliit
0,pagtatapos
0,tahanan
0,basahin
0,kamay
0,port
0,malaki
0,oras
0,magdagdag
0,lupa
0,malaki
0,mataas
0,sundin
0,kumilos
0,magtanong
0,lalaki
0,pagbabago
0,nagpunta
0,liwanag
0,uri
0,bahay
0,larawan
0,subukan
0,hayop
0,punto
0,nanay
0,mundo
0,malapit
0,magtayo
0,lupa
0,ama
0,trabaho
0,bahagi
0,lugar
0,mabuhay
0,maliit
0,pagikot
0,tao
0,taon
0,dumating
0,mabuti
0,magbigay
0,pangalan
0,pangungusap
0,palagay
0,tulungan
0,mababa
0,linya
0,magiba
0,pagliko
0,dahilan
0,magkano
0,paglipat
0,karapatan
0,batang
0,lalaki
0,luma
0,up
0,gamitin
0,sumulat
0,mahaba
0,bagay
0,tingnan
0,dalawang
0,tumingin
0,higit
0,araw
0,dati
0,dumating
0,numero
0,tunog
0,tao
0,alam
0,tubig
0,tawag
0,unang
0,gilid
0,hanapin
0,ulo
0,tumayo
0,pahina
0,bansa
0,natagpuan
0,sagot
0,paaralan
0,lumaki
0,pagaaral
0,rin
0,malaman
0,halaman
0,pabalat
0,pagkain
0,sun
0,estado
0,panatilihin
0,mata
0,huli
0,ipaalam
0,pagiisip
0,lungsod
0,puno
0,tumawid
0,sakahan
0,matapang
0,simula
0,lakas
0,kuwento
0,malayo
0,dagat
0,gumuhit
0,natitira
0,late
0,tumakbo
0,pindutin
0,malapit
0,gabi
0,tunay
0,buhay
0,hilaga
0,aklat
0,nagtitinda
0,kinuha
0,agham
0,kumain
0,room
0,kaibigan
0,sinimulan
0,idea
0,isda
0,bundok
0,itigil
0,sabaysabay
0,base
0,pakinggan
0,kabayo
0,hiwa
0,sigurado
0,panoorin
0,kulay
0,mukha
0,wood
0,pangunahin
0,bukas
0,mukhang
0,magkasama
0,susunod
0,puting
0,bata
0,simulan
0,nakakuha
0,lumakad
0,halimbawa
0,luwag
0,papel
0,pangkat
0,palagi
0,musika
0,mark
0,madalas
0,sulat
0,milya
0,ilog
0,kotse
0,paa
0,pagaalaga
0,sapat
0,plain
0,batang
0,babae
0,karaniwan
0,batang
0,handa
0,pula
0,listahan
0,bagaman
0,pakiramdam
0,talk
0,ibon
0,lalong
0,madaling
0,katawan
0,aso
0,pamilya
0,direct
0,imungkahi
0,magiwan
0,kanta
0,sukatin
0,pinto
0,produkto
0,itim
0,maikling
0,numeral
0,klase
0,hangin
0,tanong
0,mangyari
0,kumpleto
0,barko
0,lugar
0,kalahati
0,rock
0,pagkakasunudsunod
0,sunog
0,timog
0,problema
0,piraso
0,sinabi
0,alam
0,pumasa
0,noong
0,tuktok
0,kabuuan
0,king
0,kalye
0,inch
0,paramihin
0,anuman
0,siyempre
0,manatili
0,gulong
0,ganap
0,puwersa
0,asul
0,bagay
0,magpasiya
0,pangibabaw
0,malalim
0,gumala
0,isla
0,paa
0,sistema
0,maraming
0,pagsubok
0,talaan
0,bangka
0,karaniwan
0,ginto
0,posible
0,eroplano
0,stead
0,dry
0,wonder
0,patawanin
0,libo
0,nakaraan
0,pinatatakbo
0,suriin
0,laro
0,hugis
0,tutumbas
0,mainit
0,tamaan
0,nagdala
0,init
0,snow
0,gulong
0,dalhin
0,yes
0,malayo
0,punuin
0,silangan
0,pintahan
0,wika
0,kasama
0,yunit
0,kapangyarihan
0,bayan
0,mainam
0,tiyak
0,lumipad
0,mahulog
0,pangunahan
0,sigaw
0,dark
0,makina
0,tala
0,maghintay
0,plano
0,pigura
0,star
0,kahon
0,pangngalan
0,patlang
0,pahinga
0,tama
0,magagawa
0,pound
0,tapos
0,beauty
0,biyahe
0,nakatayo
0,front
0,magturo
0,linggo
0,panghuling
0,ibinigay
0,berde
0,oh
0,mabilis
0,bumuo
0,karagatan
0,mainitinit
0,libre
0,minutong
0,malakas
0,espesyal
0,isip
0,malinaw
0,buntot
0,katunayan
0,puwang
0,narinig
0,pinakamahusay
0,oras
0,mas
0,mabuti
0,totoo
0,daang
0,tandaan
0,hakbang
0,maagang
0,matagalan
0,kanluran
0,lupa
0,interes
0,maabot
0,mabilis
0,pandiwa
0,kantahin
0,makinig
0,anim
0,talahanayan
0,paglalakbay
0,mas
0,umaga
0,sampu
0,simple
0,ilang
0,patinig
0,patungo
0,digmaan
0,magipon
0,pattern
0,mabagal
0,center
0,pagibig
0,tao
0,pera
0,maghatid
0,lumitaw
0,kalsada
0,mapa
0,ulan
0,panuntunan
0,namamahala
0,hilahin
0,malamig
0,notice
0,boses
0,enerhiya
0,hunt
0,malamang
0,kama
0,kapatid
0,lalaki
0,itlog
0,pagsakay
0,cell
0,maniwala
0,marahil
0,pumili
0,anuano
0,bilangin
0,parisukat
0,dahilan
0,haba
0,katawanin
0,sining
0,paksa
0,rehiyon
0,laki
0,magiba
0,tumira
0,magsalita
0,timbang
0,pangkalahatan
0,yelo
0,bagay
0,lupon
0,pares
0,isama
0,hatiin
0,pantig
0,pyeltro
0,malaki
0,maganda
0,ball
0,alon
0,drop
0,puso
0,kasalukuyan
0,mabigat
0,sayaw
0,engine
0,posisyon
0,braso
0,malawak
0,layag
0,materyal
0,maliit
0,bahagi
0,gubat
0,umupo
0,lahi
0,window
0,tindahan
0,tagaraw
0,tren
0,tulog
0,patunayan
0,kaisaisa
0,binti
0,pagsasanay
0,pader
0,catch
0,kabit
0,langit
0,board
0,kagalakan
0,taglamig
0,sab
0,nakasulat
0,ligaw
0,instrumento
0,pinananatiling
0,salamin
0,damo
0,baka
0,trabaho
0,gilid
0,lagdaan
0,pagbisita
0,nakalipas
0,malambot
0,magsaya
0,maliwanag
0,gas
0,lagay
0,buwan
0,milyon
0,madala
0,tapusin
0,masaya
0,umaasa
0,bulaklak
0,damitan
0,kakaiba
0,nawala
0,kalakalan
0,melody
0,paglalakbay
0,opisina
0,tumanggap
0,hilera
0,bibig
0,eksaktong
0,simbolo
0,mamatay
0,pag
0,sigaw
0,maliban
0,isinulat
0,buto
0,tono
0,sumali
0,iminumungkahi
0,malinis
0,bakasyon
0,ginang
0,bansa
0,bakuran
0,tumaas
0,masama
0,pumutok
0,langis
0,dugo
0,kalabitin
0,lumago
0,sentimo
0,paghaluin
0,koponan
0,wire
0,gastos
0,nawala
0,kayumanggi
0,magsuot
0,hardin
0,kapantay
0,ipinadala
0,piliin
0,patumbahin
0,umangkop
0,dumaloy
0,makatarungan
0,bangko
0,mangolekta
0,isave
0,kontrol
0,decimal
0,tainga
0,medyo
0,sinira
0,kaso
0,gitna
0,pumatay
0,anak
0,dagatdagatan
0,sandali
0,iskala
0,malakas
0,tagsibol
0,obserbahan
0,anak
0,tuwid
0,katinig
0,bansa
0,diksyunaryo
0,gatas
0,bilis
0,pamamaraan
0,organ
0,bayaran
0,edad
0,seksyon
0,damit
0,cloud
0,sorpresa
0,tahimik
0,bato
0,maliit
0,maliit
0,umakyat
0,malamig
0,disenyo
0,mahirap
0,eksperimento
0,key
0,bakal
0,single
0,stick
0,flat
0,dalawampuâ€™t
0,balat
0,ngiti
0,crease
0,butas
0,tumalon
0,sanggol
0,walo
0,nayon
0,matugunan
0,ugat
0,bumili
0,taasan
0,malutas
0,metal
0,push
0,pito
0,talata
0,ikatlong
0,tiyak
0,pinigilang
0,buhok
0,ilarawan
0,tagaluto
0,palapag
0,alinman
0,resulta
0,sumunog
0,burol
0,ligtas
0,pusa
0,siglo
0,isaalangalang
0,uri
0,batas
0,bit
0,baybayin
0,kopya
0,parirala
0,sinasabi
0,matangkad
0,buhangin
0,lupa
0,roll
0,temperatura
0,daliri
0,industriya
0,halaga
0,lumaban
0,kasinungalingan
0,matalo
0,gumising
0,natural
0,pagtingin
0,pakiramdam
0,kapital
0,silya
0,panganib
0,prutas
0,mayaman
0,makapal
0,kawal
0,proseso
0,magpatakbo
0,kasanayan
0,hiwalay
0,mahirap
0,manggagamot
0,mangyaring
0,ipagtanggol
0,tanghali
0,crop
0,modernong
0,elemento
0,pindutin
0,magaaral
0,sulok
0,partido
0,panustos
0,hanapin
0,singsing
0,katangian
0,insekto
0,nahuli
0,ipahiwatig
0,radyo
0,nagsalita
0,atom
0,pantao
0,kasaysayan
0,epekto
0,dekuryenteng
0,inaasahan
0,buto
0,rail
0,isipin
0,magbigay
0,sumasangayon
0,magiliw
0,babae
0,kapitan
0,hulaan
0,kinakailangan
0,matalim
0,wing
0,lumikha
0,kapitbahay
0,wash
0,bat
0,lalong
0,maliwanag
0,tao
0,mais
0,ihambing
0,tula
0,string
0,kampanilya
0,depende
0,karne
0,kuskusin
0,tube
0,sikat
0,dollar
0,stream
0,takot
0,paningin
0,manipis
0,tatsulok
0,planeta
0,magmadali
0,mahalaga
0,kolonya
0,orasan
0,minahan
0,itali
0,magpasok
0,pangunahing
0,sariwa
0,paghahanap
0,magpadala
0,dilaw
0,gun
0,pumayag
0,nakaprint
0,patay
0,spot
0,disyerto
0,suit
0,kasalukuyan
0,pagangat
0,tumaas
0,dumating
0,master
0,track
0,magulang
0,baybayin
0,dibisyon
0,sheet
0,bagay
0,paboran
0,ikonekta
0,post
0,gumastos
0,chord
0,taba
0,natutuwa
0,orihinal
0,magbahagi
0,station
0,ama
0,tinapay
0,sumingil
0,pangngalang
0,bar
0,alok
0,segment
0,alipin
0,pato
0,instant
0,merkado
0,digri
0,mapuno
0,chick
0,mahal
0,kaaway
0,sumagot
0,inumin
0,maganap
0,suporta
0,salita
0,likas
0,katangian
0,hanay
0,steam
0,galaw
0,landas
0,likido
0,maglog
0,nakalaan
0,quotient
0,ngipin
0,shell
0,leeg
0,oxygen
0,asukal
0,kamatayan
0,medyo
0,kasanayan
0,kababaihan
0,season
0,solusyon
0,magneto
0,pilak
0,pasasalamat
0,sangay
0,pagtutugma
0,suffix
0,lalo
0,fig
0,takot
0,malaking
0,kapatid
0,babae
0,asero
0,talakayin
0,pasulong
0,patnubayan
0,karanasan
0,iskor
0,mansanas
0,bumili
0,humantong
0,pitch
0,amerikana
0,masa
0,kard
0,band
0,lubid
0,isuot
0,madali
0,panalo
0,mangarap
0,gabi
0,kalagayan
0,feed
0,kasangkapan
0,kabuuan
0,pangunahing
0,amoy
0,lambak
0,rin
0,double
0,upuan
0,magpatuloy
0,bloke
0,tsart
0,sumbrero
0,ibenta
0,tagumpay
0,kompanya
0,ibawas
0,kaganapan
0,partikular
0,deal
0,lumangoy
0,taning
0,tapat
0,asawa
0,sapatos
0,balikat
0,pagkalat
0,magayos
0,kampo
0,imbentuhin
0,koton
0,isinilang
0,matukoy
0,quart
0,siyam
0,trak
0,ingay
0,antas
0,pagkakataon
0,magtipon
0,shop
0,banatin
0,magtapon
0,kinang
0,ariarian
0,haligi
0,molekyul
0,piliin
0,mali
0,kulayabo
0,paulitulit
0,nangangailangan
0,malawak
0,maghanda
0,asin
0,ilong
0,pangmaramihang
0,galit
0,claim
0,kontinente
1,amputa
1,animal
1,bilat
1,binibrocha
1,bobo
1,bogo
1,boto
1,brocha
1,burat
1,bwesit
1,bwisit
1,demonyo
1,engot
1,etits
1,gaga
1,gagi
1,gago
1,habal
1,hayop
1,hayup
1,hinampak
1,hinayupak
1,hindot
1,hindutan
1,hudas
1,iniyot
1,inutel
1,inutil
1,iyot
1,kagaguhan
1,kagang
1,kantot
1,kantotan
1,kantut
1,kantutan
1,kaululan
1,kayat
1,kiki
1,kikinginamo
1,kingina
1,kupal
1,leche
1,leching
1,lechugas
1,lintik
1,nakakaburat
1,nimal
1,ogag
1,olok
1,pakingshet
1,pakshet
1,pakyu
1,pesteng
1,yawa
1,poke
1,poki
1,pokpok
1,poyet
1,pukeng
1,pucha
1,puchanggala
1,puchangina
1,puke
1,puki
1,pukinangina
1,puking
1,punyeta
1,puta
1,putang
1,putang
0,ina
1,putangina
1,putanginamo
1,putaragis
1,putragis
1,puyet
1,ratbu
1,shunga
1,sira
1,ulo
1,siraulo
1,suso
1,susu
1,tae
1,taena
1,tamod
1,tanga
1,tangina
1,taragis
1,tarantado
1,tete
1,teti
1,timang
1,tinil
1,tite
1,titi
1,tungaw
1,ulol
1,ulul
1,ungas
1,amp
1,puta
1,amputa
1,amf
1,amfufu
1,ampt
1,bobo
1,banga
1,vovo
1,bubu
1,buang
1,buwang
1,boang
1,buwisit
1,bwiset
1,gago
1,ogag
1,inutil
1,jebs
1,tae
1,kupal
1,kups
1,letse
1,litsi
1,langhiya
1,langya
1,pakshet
1,pakyu
1,pota
1,pucha
1,punyeta
1,putang
0,ina
1,taena
1,tangina
1,piste
1,pisti
1,pesteng
1,yawa
1,yawa
1,ulol
1,tado
1,tarantado
